Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No,Invoice No,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337121,J530431 141012,6271.00,ASH HOUSE RESIDENTIAL HOME,361901,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337122,J530433 141012,3096.00,DEVAGLADE LIMITED T/A AARON VIEW,486043,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337123,J530435 141012,5648.00,BALMORAL NURSING HOME,361851,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337124,J530436 141012,4615.00,ALEXANDER COURT CARE HOME,361889,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-01,3337124,J530436 141012,12704.00,ALEXANDER COURT CARE HOME,361889,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337125,J530437 141012,3819.00,ASCOT LODGE CARE HOME,362118,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-01,3337125,J530437 141012,1944.43,ASCOT LODGE CARE HOME,362118,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337126,J530438 141012,8256.14,BEECHY KNOLL,362144,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337127,J530440 141012,7038.00,ROSEBERRY CARE CENTRES GB LTD,368334,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-01,3337127,J530440 141012,6352.00,ROSEBERRY CARE CENTRES GB LTD,368334,Social Community Care,NURSING HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337128,J530441 141012,27287.00,HEATHCOTES LD LLP,571496,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9210,CONTINUING NURSING CARE,2012-10-01,3337129,J531156 141012,2574.00,CHATSWORTH GRANGE EMI N HOME,362033,Social Community Care,NURSING HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337130,J526649 141012,32248.00,GRANGE CRESCENT,361898,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337131,J526653 141012,28118.64,CASTELAYN,361796,Social Community Care,RESIDENTIAL CARE HOMES
PDSI PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337131,J526653 141012,5833.12,CASTELAYN,361796,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9220,CONTINUING BLOCK BOOKED,2012-10-01,3337131,J526653 141012,1412.00,CASTELAYN,361796,Social Community Care,RESIDENTIAL CARE HOMES
PURCHASING LEARNING DISABILITI,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337132,J526727 141012,9414.28,BETHANY HOUSE,361787,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,CONTINUING RESIDENTIAL CARE,2012-10-01,3337133,J528674 141012,7600.00,BELMONT HOUSE NURSING HOME,361754,Social Community Care,RESIDENTIAL CARE HOMES
DRUG & ALCOHOL MH -PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-01,3337135,J530407 160912,1234.29,ARK HOUSE REHAB LTD,383520,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-01,3337136,J531124 160912,4134.86,BELMONT HOUSE NURSING HOME,361754,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-01,3337137,J531128 160912,4420.00,ALEXANDER COURT CARE HOME,361889,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-01,3337138,J531129 160912,1548.00,BEECHY KNOLL,362144,Social Community Care,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2012-10-01,3337139,J531130 160912,812.14,ABBEY GRANGE RESIDENTIAL HOME,361753,Social Community Care,RESIDENTIAL CARE HOMES
UASC/ASYLUM 16-17,9270,INDEPENDENT FOSTERING,2012-10-01,3337174,17710,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
UASC/ASYLUM 16-17,9270,INDEPENDENT FOSTERING,2012-10-01,3337175,17731,3411.80,REDACTED PERSONAL DATA,352082,Social Community Care,ADOPTION & FOSTERING
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3338072,ERS INVOICE73065,1491.63,L & K CLARKE PSYCHOLOGY SERVICES LTD,443006,Medical,PSYCHOLOGISTS
GRANT AIDED FACILITIES,8180,GRANTS,2012-10-02,3338088,ERS INVOICE73081,17950.00,CHAPELTOWN POOL,321343,Leisure Services,SWIMMING POOLS - PUBLIC
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3338093,ERS INVOICE73086,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3338095,ERS INVOICE73088,530.4,HOPE FELLOWSHIP CIC,516716,Unclassified Non Trade,COMMUNITY NETWORKS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3338110,ERS INVOICE73103,692.2,LYNNE JACKSON LTD,504916,Medical,PSYCHOLOGISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3338111,ERS INVOICE73104,2225.00,CEC MORLEY,537729,Unclassified Non Trade,COURTS
CLAIMS,8740,PUBLIC LIABILITY,2012-10-02,3338112,ERS INVOICE73105,7155.00,REDACTED PERSONAL DATA,553133,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,PUBLIC LIABILITY,2012-10-02,3338113,ERS INVOICE73106,4750.00,HORWICH FARRELLY SOLICITORS,540188,Legal Services,SOLICITORS
CLAIMS,8740,EMPLOYERS LIABILITY,2012-10-02,3338114,ERS INVOICE73107,1920.00,WALKER PRESTONS,570605,Legal Services,SOLICITORS MARKETING SERVICES
CLAIMS,8740,PUBLIC LIABILITY,2012-10-02,3338115,ERS INVOICE73108,2000.00,PETHERBRIDGE BASSRA,572965,Legal Services,SOLICITORS MARKETING SERVICES
CLAIMS,8740,PUBLIC LIABILITY,2012-10-02,3338116,ERS INVOICE73109,1500.00,HAYWARD BAKER PERSONAL INJURY SOLICITORS,573201,Legal Services,SOLICITORS
CLAIMS,8740,PUBLIC LIABILITY,2012-10-02,3338117,ERS INVOICE73110,1314.19,ACROMAS INSURANCE COMPANY LTD,525211,Financial Services,INSURANCE - OTHER
CLAIMS,8740,EMPLOYERS LIABILITY,2012-10-02,3338118,ERS INVOICE73111,7875.00,THOMPSONS CLIENT ACCOUNT,505870,Legal Services,SOLICITORS
CLAIMS,8740,EMPLOYERS LIABILITY,2012-10-02,3338119,ERS INVOICE73112,505,DEPARTMENT FOR WORK & PENSIONS,326920,Unclassified Non Trade,CENTRAL GOVERNMENT
CLAIMS,8740,PUBLIC LIABILITY,2012-10-02,3338120,ERS INVOICE73113,1600.00,REDACTED PERSONAL DATA,573238,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,MOTOR VEHICLE,2012-10-02,3338121,ERS INVOICE73114,4600.00,ANTHONY HODARI & CO SOLICITORS,555114,Legal Services,SOLICITORS
CLAIMS,8740,MOTOR VEHICLE,2012-10-02,3338122,ERS INVOICE73115,3010.70,ANTHONY HODARI & CO SOLICITORS,555114,Legal Services,SOLICITORS
OUTDOOR EDUCATION,8440,FEE EXPENSES,2012-10-02,3338125,ERS INVOICE73118,505,PHILIP HUMBERSTONE,487844,Leisure Services,SPORTS COACHING & INSTRUCTION
FAMILY & COMM MANAGEMENT,9120,OTHER AGENCIES,2012-10-02,3338127,ERS INVOICE73120,928.69,REDACTED PERSONAL DATA,569096,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
VS - INFRASTRUCTURE SUPPORT,8180,GRANTS,2012-10-02,3338131,ERS INVOICE73124,2222.00,YOUTH ASSOCIATION SOUTH YORKSHIRE,313174,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
STRATEGIC COMM/PARTNERSHIPS,9120,OTHER AGENCIES,2012-10-02,3338189,ERS INVOICE73128,2170.00,SHEFFIELD CARERS CENTRE,376051,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338190,ERS INVOICE73129,6111.00,HEELEY CITY FARM,301277,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338191,ERS INVOICE73130,8833.00,SAVTE,350936,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338192,ERS INVOICE73131,4667.00,SHOPMOBILITY SHEFFIELD LTD,362429,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338193,ERS INVOICE73132,4167.00,CITY OF SANCTUARY,539148,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338194,ERS INVOICE73133,3778.00,SHEFFIELD COMMUNITY TRANSPORT,296356,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338195,ERS INVOICE73134,3778.00,SHEFFIELD COMMUNITY TRANSPORT,296356,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338196,ERS INVOICE73135,4444.00,CATHEDRAL ARCHER PROJECT LTD,479884,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338197,ERS INVOICE73136,5556.00,CHINESE COMMUNITY CENTRE,321265,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338198,ERS INVOICE73137,9444.00,ROSHNI ASIAN WOMENS RESOURCE CENTRE,305514,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338199,ERS INVOICE73138,28367.00,SHEFFIELD DOMESTIC ABUSE OUTREACH SERVIC,413591,Medical,COUNSELLING & ADVICE SERVICES
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338200,ERS INVOICE73139,4444.00,YOUNG WOMENS HOUSING PROJECT,301584,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3337944,807937,2050.00,NICOLA QUINNEY,509263,Legal Services,BARRISTERS
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338201,ERS INVOICE73140,9133.00,BEN'S CENTRE,328831,Unclassified Non Trade,DAY CENTRES
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2012-10-02,3338202,ERS INVOICE73141,11040.00,HEELEY DEVELOPMENT TRUST,363241,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2012-10-02,3338203,ERS INVOICE73142,6480.00,HEELEY DEVELOPMENT TRUST,363241,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD COMMUNITY NETWORK,9120,OTHER AGENCIES,2012-10-02,3338204,ERS INVOICE73143,5860.80,HEELEY DEVELOPMENT TRUST,363241,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - TACKLING POVERTY,8180,GRANTS,2012-10-02,3338205,ERS INVOICE73144,3044.00,HEELEY ADVICE CENTRE,336752,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338206,ERS INVOICE73145,3889.00,EMMAUS SHEFFIELD LTD,418279,Social Community Care,SOCIAL SERVICES
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338207,ERS INVOICE73146,9600.00,SHEFFIELD RAPE & SEXUAL ABUSE,314909,Medical,COUNSELLING & ADVICE SERVICES
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338208,ERS INVOICE73147,7167.00,LANGUAGES SHEFFIELD,484105,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338209,ERS INVOICE73148,6667.00,SHEFFIELD ALCOHOL SUPPORT SERVICE,351470,Medical,ALCOHOL MISUSE - ADVICE & COUN
VS - BUILDING COHESION,8180,GRANTS,2012-10-02,3338210,ERS INVOICE73149,5556.00,REDACTED PERSONAL DATA,568628,Social Community Care,CAREFIRST DIRECT PAYMENTS
VS - TACKLING POVERTY,8180,GRANTS,2012-10-02,3338211,ERS INVOICE73150,16511.00,SHEFFIELD CREDIT UNION,400397,Financial Services,CREDIT UNIONS
MARKETING SHEFFIELD,8270,SUBSCRIPTIONS,2012-10-02,3316867,SINV.24143,25000.00,DERBYSHIRE & NOTTINGHAMSHIRE CHAMBER,469555,Human Resources,BUSINESS INFORMATION SERVICES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3324306,3(Q32012/13),22237.00,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3324767,19,47592.00,TINSLEY PARENTS & CHILDRENS CONSORTIUM,478244,Social Community Care,NURSERIES & CRECHES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3325905,41157,4373.00,OSBOURNE HOUSE COMMUNITY NRSY LTD,311900,Social Community Care,NURSERIES & CRECHES
MARKETING SHEFFIELD,8350,MISCELLANEOUS EXPENSES,2012-10-02,3329256,284,2190.79,HOSPITALITY SHEFFIELD LIMITED,482786,Leisure Services,CORPORATE AND BUSINESS HOSPITA
MARKETING SHEFFIELD,8350,MISCELLANEOUS EXPENSES,2012-10-02,3329257,283,7589.00,HOSPITALITY SHEFFIELD LIMITED,482786,Leisure Services,CORPORATE AND BUSINESS HOSPITA
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3329331,1537,72140.00,OUT OF SCHOOL NETWORK,368363,Education,EDUCATIONAL SERVICES
LEARN SAFE DRIVE SAFE,1194,OTHER FEES,2012-10-02,3330515,12254,3000.00,BLIND MICE MEDIA LTD,554813,Facilities Management,ADVERTISING - MEDIA
PROJECT MANAGEMENT - SCHEME,8350,MISCELLANEOUS EXPENSES,2012-10-02,3330573,6103,645,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
PROJECT MANAGEMENT - SCHEME,8350,MISCELLANEOUS EXPENSES,2012-10-02,3330574,6102,746,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-02,3330620,95,1040.00,J B HIBBERD LIMITED,510434,Environmental Services,TREE WORK & FORESTRY SERVICES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3330760,979499/003,13976.00,BLACK WOMEN'S RESOURCE CENTRE,299561,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMERCIAL ESTATE,8350,MISCELLANEOUS EXPENSES,2012-10-02,3330898,1046874,589.56,BANK OF SCOTLAND ASSET FINANCE,493552,Financial Services,BANKS & OTHER FINANCIAL INSTIT
"WOODEN PARK, MP & IMP",1194,OTHER FEES,2012-10-02,3331840,14214,15318.35,HORTICON LTD,525508,Construction,LANDSCAPE CONTRACTORS
PUBLIC RIGHTS OF WAY,6390,OTHER HIGHWAY MAINTENANCE,2012-10-02,3332318,260609,1939.46,MARCHINGTON STONE LIMITED,526115,Building Construction Materials,QUARRIES
PUBLIC RIGHTS OF WAY,6390,OTHER HIGHWAY MAINTENANCE,2012-10-02,3332346,1977,1900.00,STEEL VALLEY PROJECT,386046,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
CITY STEWARDSHIP,6030,REPAIRS TO TENANTED PROPERTIES,2012-10-02,3332900,12030045,142691.06,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
CITY STEWARDSHIP,6030,REPAIRS TO TENANTED PROPERTIES,2012-10-02,3332901,12030046,139353.35,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
EXECUTOR SERVICES,8090,BEREAVEMENT SUPPLIES,2012-10-02,3333100,F49960-04615,553,SHEFFIELD CO-OPERATIVE FUNERALCARE,203171,Environmental Services,FUNERAL SERVICES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3333962,180,22685.00,ELLESMERE CHILDREN'S CENTRE,296344,Social Community Care,NURSERIES & CRECHES
PROJECT MANAGEMENT - SCHEME,8350,MISCELLANEOUS EXPENSES,2012-10-02,3334154,6146,17655.00,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
LEARNING SUPPORT,8380,PHOTOCOPYING,2012-10-02,3334527,1104649748,691.79,KONICA MINOLTA BUSINESS SOLUTIONS,375732,ICT,PHOTOCOPIERS
LEARNING SUPPORT,8380,PHOTOCOPYING,2012-10-02,3334528,1104694501,602.31,KONICA MINOLTA BUSINESS SOLUTIONS,375732,ICT,PHOTOCOPIERS
WEST SA - LAC,8490,OTHER PROFESSIONAL FEES,2012-10-02,3334531,29164,727.5,LANGUAGE LINE LIMITED,471915,Human Resources,TRANSLATORS & INTERPRETERS
CORPORATE LEASING,7070,OPERATING LEASES,2012-10-02,3334923,1048647,3715.00,BANK OF SCOTLAND ASSET FINANCE,493552,Financial Services,BANKS & OTHER FINANCIAL INSTIT
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-10-02,3335120,S76,23518.00,HANDSWORTH COMMUNITY NURSERY,325463,Social Community Care,NURSERIES & CRECHES
ESTATE SERVICES,6090,TIPPING COSTS,2012-10-02,3335416,45772/1,8390.87,R FLETCHER WASTE DISPOSAL LTD,473104,Environmental Services,WASTE DISPOSAL SERVICES
FURNISHED ACCOMMODATION,8050,ELECTRICAL GOODS,2012-10-02,3335418,CMD2244731,10865.00,DOMESTIC APPLIANCE DISTRIBUTORS,527171,Domestic Goods,ELECTRICAL GOODS - SALES
NORBURY,7040,OTHER VEHICLE RUNNING COSTS,2012-10-02,3335424,2100073646,813.72,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2012-10-02,3335535,L08144,584,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2012-10-02,3335540,L08145,584,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2012-10-02,3335542,L08143,584,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
SHEFFIELD HOMES TREES,6370,GROUNDS MTCE AND ARBORICULTURE,2012-10-02,3335554,101,2390.00,J B HIBBERD LIMITED,510434,Environmental Services,TREE WORK & FORESTRY SERVICES
BANNERDALE CENTRE,8410,GENERAL OFFICE EXPENSES,2012-10-02,3335692,164671,2500.80,AQUAID (SOUTH YORKSHIRE),203007,Catering,WATER COOLERS
DH - UTILITIES,1165,NC&A OTHER,2012-10-02,3335699,8840007617/8849027687,6991.50,NPOWER (METERPLUS),464845,Utilities,ELECTRICITY COMPANIES
SEN TRANSPORT,7140,PUBLIC TRANSPORT COSTS,2012-10-02,3336033,1800036172,832,DERBYSHIRE COUNTY COUNCIL,299578,Unclassified Non Trade,LOCAL GOVERNMENT
SEN TRANSPORT,7140,PUBLIC TRANSPORT COSTS,2012-10-02,3336034,1800036173,2160.00,DERBYSHIRE COUNTY COUNCIL,299578,Unclassified Non Trade,LOCAL GOVERNMENT
ALDINE HOUSE,5610,AGENCY STAFF,2012-10-02,3336071,759708,1957.00,TEACHING PERSONNEL,410695,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
ADULT SOCIAL CARE PURCHASING,8470,LEGAL FEES,2012-10-02,3336952,319932,750,KINGS CHAMBERS,572618,Legal Services,SOLICITORS MARKETING SERVICES
ALDINE HOUSE,7060,EXTERNAL VEHICLE HIRE,2012-10-02,3336998,CAR19960,536.64,CAR-ES (UK) LIMITED,328870,Social Community Care,SOCIAL SERVICES
SWAN COMMISSIONED,1147,DEMOLITION,2012-10-02,3337027,80561,740,HAGUE PLANT LTD,205330,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
PARKHILL DEMOLITION SHM (STH),1157,DWELLINGS MAIN CONTRACT,2012-10-02,3337027,80561,540,HAGUE PLANT LTD,205330,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
ADOPTION SERVICE,8400,PUBLICATIONS AND PERIODICALS,2012-10-02,3337209,PUBS106194,560,REDACTED PERSONAL DATA,329738,Social Community Care,ADOPTION & FOSTERING
HR & ORG DEVELOPMENT,5750,SHORT COURSE COSTS,2012-10-02,3337216,25146,729,THE WATER MANAGEMENT SOCIETY,404027,Environmental Services,WATER TREATMENT EQUIPMENT & SE
HR & ORG DEVELOPMENT,5750,SHORT COURSE COSTS,2012-10-02,3337218,25149,1128.00,THE WATER MANAGEMENT SOCIETY,404027,Environmental Services,WATER TREATMENT EQUIPMENT & SE
MAST STRATEGY,5750,TRAINING EXPENDITURE,2012-10-02,3337240,614,750,CONSILIENT CONSULTING LTD,446779,Consultancy,BUSINESS & MANAGEMENT CONSULTA
ALDINE HOUSE,5750,TRAINING EXPENDITURE,2012-10-02,3337360,OUKI20546,1062.15,POSITIVE OPTIONS LTD,328692,Human Resources,TRAINING CONSULTANTS
ALDINE HOUSE,5750,TRAINING EXPENDITURE,2012-10-02,3337361,OUKI20545,1062.15,POSITIVE OPTIONS LTD,328692,Human Resources,TRAINING CONSULTANTS
VSP DELIVER,9120,OTHER AGENCIES,2012-10-02,3337379,CRM4364,3500.00,LIFE BEYOND SCHOOL,533301,Education,EDUCATIONAL SERVICES
SECURITY SERVICES,8540,SECURITY SERVICES,2012-10-02,3337477,1795,790,CCS LTD,445002,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
CONTACT CONTRACTS,9280,CONTACT,2012-10-02,3337485,437,1856.97,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
CONTACT CONTRACTS,9280,CONTACT,2012-10-02,3337486,438,1824.75,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
PLAYGROUND MAINTENANCE & INSPE,8010,EQUIPMENT PURCHASE AND REPAIR,2012-10-02,3337510,21521,1120.00,SMP (PLAYGROUNDS) LIMITED,493168,Sports & Playground,PLAYGROUND EQUIPMENT
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-02,3337527,12020184,4446.84,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-02,3337528,12020182,12712.37,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-02,3337529,12020183,4440.03,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
ADAPTATIONS,1157,DWELLINGS MAIN CONTRACT,2012-10-02,3337530,12020181,33582.46,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
COMMUNITY YOUTH TEAMS,9120,OTHER AGENCIES,2012-10-02,3337532,1184,47229.80,GET HOOKED ON LIFE CIC,520422,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD HOMES MANAGEMENT COS,8350,MISCELLANEOUS EXPENSES,2012-10-02,3337725,644,4348.46,SHEFFIELD HOMES LTD,503889,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
SPORTS EVENTS,8020,EQUIPMENT LEASE/ RENTAL/ HIRE,2012-10-02,3337789,134,500,EVENTS COLLECTIVE LTD,528220,Leisure Services,"MARQUEES, TENTS & PORTABLE FLO"
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2012-10-02,3337896,833461,600,MR A J LORD,486218,Legal Services,BARRISTERS
CHILDREN & YOUNG PEOPLE'S INVO,9120,OTHER AGENCIES,2012-10-02,3337903,BU0407,5000.00,COMMON PURPOSE,316981,Human Resources,TRAINING SERVICES
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2012-10-02,3337972,1583923,721.62,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
BOOKS & OTHER MATERIALS,8080,LIBRARY MATERIALS,2012-10-02,3337986,1586080,1110.07,BERTRAM LIBRARY SERVICES,418929,Education,EDUCATIONAL EQUIPMENT & SUPPLI
SPORTS EVENTS,8130,CATERING SUPPLIES,2012-10-02,3337988,504,1555.42,SPIRIT FOOD SERVICES LTD,452991,Leisure Services,ART GALLERIES & FINE ART DEALE
SPORTS EVENTS,6280,HIRE OF PREMISES,2012-10-02,3337992,505,500,SPIRIT FOOD SERVICES LTD,452991,Leisure Services,ART GALLERIES & FINE ART DEALE
PURCHASING,4260,DIRECT PAYMENTS,2012-10-02,3337675,J531529,2133.14,REDACTED PERSONAL DATA,556296,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-10-02,3337676,J531529,1853.41,REDACTED PERSONAL DATA,572337,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2012-10-02,3337677,A03891,6745.76,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2012-10-02,3337678,A03892,6745.76,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,9250,INDEPENDENT DAY CARE,2012-10-02,3337679,A03925,2013.92,AUTISM PLUS LTD,330606,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
