Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2017-09-29,1600592883,1325.78,220.96,1104.82,Yorkshire Purchasing,Children's Services,Equipment Purchase
Salford City Council,2017-09-29,1600592081,744,124,620,Rbs Invoice Finance Limited,Sustainable Regeneration,Equipment Repair
Salford City Council,2017-09-29,601201968,908.78,151.46,757.32,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,601201967,512.06,85.34,426.72,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,601201946,815.18,135.86,679.32,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,601201969,908.78,151.46,757.32,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,601201965,1155.35,192.56,962.79,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,601201964,1201.63,200.27,1001.36,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,601201966,1320.35,220.06,1100.29,David Phillips Group,Sustainable Regeneration,Furniture
Salford City Council,2017-09-29,bonrablvq,3390,0,3390,Hmcourts-Service.G,Corporate Business,Legal Fees
Salford City Council,2017-09-29,601201989,4000,0,4000,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-29,601201990,16426,0,16426,Forbes Solicitors,Corporate Business,Liability Insurance
Salford City Council,2017-09-29,1600592064,1124.16,187.36,936.8,Nomix Enviro Ltd,Environment and Community Safety,Materials
Salford City Council,2017-09-29,1600592867,2994,499,2495,Co-Wheels Car Club,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-29,1600592646,8014.32,1335.72,6678.6,Tim Denton Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-29,1600592219,2712,452,2260,Trinity Mirror Publishing Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2017-09-29,1600592870,33750,5625,28125,Crowd Uk Ltd,Office of the Chief Executive,Other Prof Fees
Salford City Council,2017-09-29,1600592073,33980.83,0,33980.83,Central Manchester University,Children's Services,Payts to Agencies
Salford City Council,2017-09-29,1600592203,5000,0,5000,Safe Families For Children,Children's Services,Payts to Agencies
Salford City Council,2017-09-29,1600592085,5968.8,994.8,4974,Groundwork Landscapes Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2017-09-29,601201991,4277.7,0,4277.7,Aim Habonim-Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201992,12782.18,0,12782.18,Big Steps Playgroup,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201993,6416.55,0,6416.55,Claremont Neighbourhood Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202000,21286.66,0,21286.66,Clk Childcare Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201994,5703.6,0,5703.6,Happy Feet Day Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201996,2885.75,0,2885.75,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201995,21999.61,0,21999.61,Kids Planet Day Nurseries Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201997,12120.15,0,12120.15,Little Explorers Eccles,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201998,9268.35,0,9268.35,Mojo-Out Of School Club,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201999,5245.28,0,5245.28,Nutkins Play & Learn Centre,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202001,5703.6,0,5703.6,Pomegranate Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202006,713.16,0,713.16,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202005,7524.78,0,7524.78,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202002,6416.55,0,6416.55,Roobyloos Childrens Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202003,12833.1,0,12833.1,Unicorn Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601202004,8555.4,0,8555.4,Wow Kids Ltd T/A Bright Futures,Children's Services,Pmnts Privt Provider
Salford City Council,2017-09-29,601201934,981.96,0,981.96,Pitney Bowes Purchase Power,Corporate Business,Postage
Salford City Council,2017-09-29,601202022,720,0,720,Hawthorn Hotel,Children's Services,Rents
Salford City Council,2017-09-29,601202021,2480,0,2480,Hawthorn Hotel,Children's Services,Rents
Salford City Council,2017-09-29,601202020,2635,0,2635,Hawthorn Hotel,Children's Services,Rents
Salford City Council,2017-09-29,601201943,335057.23,55842.87,279214.36,Peel Media Ltd,Office of the Chief Executive,Rents
Salford City Council,2017-09-29,601201944,27167.87,4527.98,22639.89,Peel Media Ltd,Office of the Chief Executive,Service Tenancies
Salford City Council,2017-09-29,1600593127,1857.6,309.6,1548,Behavioural Insights Ltd,Environment and Community Safety,Training of Others
Salford City Council,2017-09-29,601202025,576,96,480,Chrystal Consulting Ltd,Environment and Community Safety,Veh Operating Leases
