Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-12,ANTALIS MCNAUGHTON LTD,8671932,revenue,1CP17,Digital Printing,638,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-12,ANTALIS MCNAUGHTON LTD,8671930,revenue,1CP17,Digital Printing,708,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-18,ANTALIS MCNAUGHTON LTD,8674128,revenue,1CP17,Digital Printing,3342,#N/A
Assistant Chief Executive,Policy and Performance,Revenue Expenditure,2022-08-03,ANTHESIS (UK) LIMITED,8665009,revenue,1FT83,Climate Change Strategy,4500,#N/A
Assistant Chief Executive,Policy and Performance,Revenue Expenditure,2022-08-03,ANTHESIS (UK) LIMITED,8665010,revenue,1FT83,Climate Change Strategy,13878.58,#N/A
Housing Revenue Account,HRA - Public Sector Stock,Capital Expenditure,2022-08-10,ANTHONY COLLINS SOLICITORS,8670430,Capital,2CAPI,Capital Investment,422.00,#N/A
Place,Major Projects,Capital Expenditure,2022-08-10,ANTHONY COLLINS SOLICITORS,8670430,Capital,2CAPI,Capital Investment,4056.00,#N/A
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2022-08-24,ANTONY G WHARTON LTD T/A WHARLTON LANDSC,8678559,revenue,1EEG4,C&FN Inner West,1143.33,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-18,ANVIL ELECTRICAL TRAINING LTD,8673981,revenue,1KVEE,Electrical Stand Alone Works,1590.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,APPLETON MANOR CARE HOME,8663142,revenue,1MG20,Residential Care OP,2608.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,APPLETON MANOR CARE HOME,8682612,revenue,1MG20,Residential Care OP,2608,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,APPLETON MANOR CARE HOME,8663142,revenue,1MG20,Residential Care OP,-984.08,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-31,APPLETON MANOR CARE HOME,8682612,revenue,1MG20,Residential Care OP,-984.08,#N/A
Place,Major Projects,Capital Expenditure,2022-08-10,AQUEOUS 1ST KWICK FLOW LTD,8615225,Capital,2CAPI,Capital Investment,420,#N/A
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2022-08-02,AR TWIGG & SONS LTD,8647134,revenue,1KE27,Bereavement Services Overhead,2899.00,#N/A
Place,Transport,Revenue Expenditure,2022-08-24,ARC HALL,8678518,revenue,1KEMC,Highways,552.20,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670695,revenue,1MK51,Home Care LD,232.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670695,revenue,1MK60,Ind Day Care LD,660,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670480,revenue,1MK60,Ind Day Care LD,531.04,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670697,revenue,1MK60,Ind Day Care LD,1850.8,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670698,revenue,1MK60,Ind Day Care LD,488.96,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670699,revenue,1MK60,Ind Day Care LD,408.96,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670700,revenue,1MK60,Ind Day Care LD,613.44,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670701,revenue,1MK60,Ind Day Care LD,408.96,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670702,revenue,1MK60,Ind Day Care LD,1068.56,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670703,revenue,1MK60,Ind Day Care LD,829.44,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670704,revenue,1MK60,Ind Day Care LD,284.48,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670705,revenue,1MK60,Ind Day Care LD,1232,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670706,revenue,1MK60,Ind Day Care LD,613.44,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-10,ARCADEA,8670707,revenue,1MK60,Ind Day Care LD,408.96,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-24,ARCO LTD,8663846,revenue,1DTS1,I&D Property Services,491.99,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-08,ARMSTRONG PRIESTLEY,8668113,revenue,1KVWC,Minor Works Contracts,20000,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-26,ARNOLD CLARK,8663766,revenue,1KESY,Spot Hires,334.6,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-26,ARNOLD CLARK,8663767,revenue,1KESY,Spot Hires,334.6,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-26,ARNOLD CLARK,8663768,revenue,1KESY,Spot Hires,339.50,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-26,ARNOLD CLARK,8663770,revenue,1KESY,Spot Hires,334.6,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-19,ARNOLD CLARK,8659905,revenue,1KESY,Spot Hires,339.50,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-10,ARNOLD CLARK,8652097,revenue,1KESY,Spot Hires,334.60,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-12,ARNOLD CLARK,8655537,revenue,1KESY,Spot Hires,334.60,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-12,ARNOLD CLARK,8656272,revenue,1KESY,Spot Hires,334.6,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-03,ARNOLD CLARK,8647192,revenue,1KESY,Spot Hires,334.6,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-05,ARNOLD CLARK,8650082,revenue,1KESY,Spot Hires,339.50,#N/A
Operations & Reg Services,Operations,Revenue Expenditure,2022-08-11,ARNOLD CLARK,8652098,revenue,1KESY,Spot Hires,339.50,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,ARTEMIS DOMICILIARY CARE,8669697,revenue,1MG50,Home Care-Spot Purchased OP,17391.87,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,ARTEMIS DOMICILIARY CARE,8669697,revenue,1MH50,Home Care PD,3909.41,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,ARTEMIS DOMICILIARY CARE,8669697,revenue,1MM50,Home Care MH,-316.98,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-15,ARTEMIS SUPPORT,8672406,revenue,1MC02,Ind Sector Placements,54156.00,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-02,ARTEMIS SUPPORT,8663589,revenue,1E212,Transport Special,1269.4,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-02,ARTEMIS SUPPORT,8663590,revenue,1E212,Transport Special,1706.50,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-31,ARTEMIS SUPPORT,8673970,revenue,1E212,Transport Special,728.9,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-31,ASDA STORES LIMITED,8682353,revenue,1ML11,PH - Smoking & Tobacco,605.35,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-05,ASHBROOK CONSTRUCTION SERVICES LTD,8666590,revenue,1V616,Lower Steenbergs Yard,25044.19,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-15,ASHBROOKE SCHOOL,8672730,revenue,1E20A,SB Independent Schools,29658.76,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-31,ASHCHEM PHARMACY LTD,8682355,revenue,1ML11,PH - Smoking & Tobacco,341.56,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-31,ASHCHEM PHARMACY LTD,8682356,revenue,1ML11,PH - Smoking & Tobacco,327.8,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-17,ASHMOLE MINICOACHES,8673697,revenue,1E212,Transport Special,1698.65,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ASHTON COURT CARE HOME,8673117,revenue,1MG10,Nursing Care OP,67127.96,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ASHTON COURT CARE HOME,8673117,revenue,1MG20,Residential Care OP,47279.6,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ASHTON COURT CARE HOME,8673117,revenue,1MH10,Nursing Care PD,836.76,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ASHTON COURT CARE HOME,8673117,revenue,1MH20,Residential Care PD,2899.16,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-26,ASKEWS LIBRARY SERVICES LTD,8670735,revenue,1EJ13,Stock Services,919.54,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-19,ASKEWS LIBRARY SERVICES LTD,8666488,revenue,1EJ13,Stock Services,740.75,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-19,ASKEWS LIBRARY SERVICES LTD,8670731,revenue,1EJ13,Stock Services,950.65,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-05,ASKEWS LIBRARY SERVICES LTD,8660026,revenue,1EJ13,Stock Services,557.71,#N/A
Operations & Reg Services,Community Hubs,Revenue Expenditure,2022-08-05,ASKEWS LIBRARY SERVICES LTD,8660027,revenue,1EJ13,Stock Services,732.31,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,ASPECTS HOUSE,8663128,revenue,1MM20,Residential Care MH,3886.36,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,ASPECTS HOUSE,8682598,revenue,1MM20,Residential Care MH,3886.36,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,ASPEN COURT,8673116,revenue,1MG10,Nursing Care OP,595.8,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-16,ASPEN COURT,8673116,revenue,1MG10,Nursing Care OP,-163.80,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-16,ASPIRE TECHNOLOGY SOLUTIONS LTD,8673251,revenue,1CC24,Telecoms,4262.50,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-16,ASPIRE TECHNOLOGY SOLUTIONS LTD,8673251,revenue,1CMSB,SB ICT Broadband Connectivity,3849.78,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-16,ASPIRE TECHNOLOGY SOLUTIONS LTD,8673325,revenue,1CX50,Technical Refresh,1600,#N/A
Operations & Reg Services,ICT,Revenue Expenditure,2022-08-16,ASPIRE TECHNOLOGY SOLUTIONS LTD,8673323,revenue,1CX50,Technical Refresh,2374.19,#N/A
Finance,Procurement,Revenue Expenditure,2022-08-09,ATAMIS LTD,8668352,revenue,1CP60,Resources Comm & Procurement,1500.00,#N/A
Place,Major Projects,Capital Expenditure,2022-08-16,ATKINS LTD,8671973,Capital,2CAPI,Capital Investment,9119.06,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,ATKINSON ROAD PRIMARY ACADEMY,8680801,revenue,1E201,ISB PVI Nurseries,25963.88,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,ATKINSON ROAD PRIMARY ACADEMY,8680802,revenue,1E201,ISB PVI Nurseries,1890.00,#N/A
"Children, Education and Skills",Education Schools,Revenue Expenditure,2022-08-30,ATKINSON ROAD PRIMARY ACADEMY,8680803,revenue,1EEP5,2Yr Old Learning & Childcare,12281.85,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-23,AUKESTRAL CREATIVE SOLUTIONS,8676996,revenue,1MK60,Ind Day Care LD,1700,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-26,AURA (NCLE) PROJECT COMPANY LTD,8673308,revenue,1E31G,BSF Phase 1,1258337.57,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-09,AURA (NCLE) PROJECT COMPANY LTD,8669729,revenue,1E31G,BSF Phase 1,826.00,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-03,AURA (NCLE) PROJECT COMPANY LTD,8652687,revenue,1E31G,BSF Phase 1,410.44,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-03,AURA (NCLE) PROJECT COMPANY LTD,8652690,revenue,1E31G,BSF Phase 1,454.25,#N/A
Place,Major Projects,Capital Expenditure,2022-08-24,AURA (NCLE) PROJECT COMPANY LTD,8674107,Capital,2CAPI,Capital Investment,450925.62,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA (NCLE) PROJECT COMPANY LTD,8663652,Capital,2CAPI,Capital Investment,572.2,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-26,AURA (NEWCASTLE) PROJECT COMPANY,8673309,revenue,1E31H,BSF Phase 2,910812.98,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-10,AURA (NEWCASTLE) PROJECT COMPANY,8656310,revenue,1E31H,BSF Phase 2,846.60,#N/A
"Children, Education and Skills",Education,Revenue Expenditure,2022-08-11,AURA (NEWCASTLE) PROJECT COMPANY,8656311,revenue,1E31H,BSF Phase 2,2045.44,#N/A
Place,Major Projects,Capital Expenditure,2022-08-10,AURA (NEWCASTLE) PROJECT COMPANY,8656307,Capital,2CAPI,Capital Investment,6361,#N/A
Place,Major Projects,Capital Expenditure,2022-08-17,AURA (NEWCASTLE) PROJECT COMPANY,8673773,Capital,2CAPI,Capital Investment,7528,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA (NEWCASTLE) PROJECT COMPANY,8656305,Capital,2CAPI,Capital Investment,700.00,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA (NEWCASTLE) PROJECT COMPANY,8659728,Capital,2CAPI,Capital Investment,248453.26,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA (NEWCASTLE) PROJECT COMPANY,8656303,Capital,2CAPI,Capital Investment,700.00,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA (NEWCASTLE) PROJECT COMPANY,8656318,Capital,2CAPI,Capital Investment,700,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA (NEWCASTLE) PROJECT COMPANY,8656306,Capital,2CAPI,Capital Investment,2076.00,#N/A
Children Education & Skills,Education,Capital Expenditure,2022-08-05,AURA NEWCASTLE LTD,8666503,Capital,2CAPI,Capital Investment,4000,#N/A
Children Education & Skills,Education,Capital Expenditure,2022-08-05,AURA NEWCASTLE LTD,8666504,Capital,2CAPI,Capital Investment,1061602.08,#N/A
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,2022-08-16,AURA NEWCASTLE LTD,8625175,revenue,1KR12,DDA,760.00,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663946,Capital,2CAPI,Capital Investment,29219.36,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663947,Capital,2CAPI,Capital Investment,106243.21,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663945,Capital,2CAPI,Capital Investment,123840.61,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663949,Capital,2CAPI,Capital Investment,67760.45,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663948,Capital,2CAPI,Capital Investment,336350.90,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663954,Capital,2CAPI,Capital Investment,277728.8,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663950,Capital,2CAPI,Capital Investment,52909.70,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663951,Capital,2CAPI,Capital Investment,182829.85,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663834,Capital,2CAPI,Capital Investment,324492.16,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663783,Capital,2CAPI,Capital Investment,51671.40,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663788,Capital,2CAPI,Capital Investment,83505.74,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663789,Capital,2CAPI,Capital Investment,94987.26,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663835,Capital,2CAPI,Capital Investment,307307.09,#N/A
Place,Major Projects,Capital Expenditure,2022-08-02,AURA NEWCASTLE LTD,8663836,Capital,2CAPI,Capital Investment,76072.1,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA NEWCASTLE LTD,8666417,Capital,2CAPI,Capital Investment,93028.78,#N/A
Place,Major Projects,Capital Expenditure,2022-08-05,AURA NEWCASTLE LTD,8666530,Capital,2CAPI,Capital Investment,39409.81,#N/A
Public Health,Leisure,Capital Expenditure,2022-08-26,AURA NEWCASTLE LTD,8673655,Capital,2CAPI,Capital Investment,124886.43,#N/A
Public Health,Leisure,Capital Expenditure,2022-08-19,AURA NEWCASTLE LTD,8673657,Capital,2CAPI,Capital Investment,124887,#N/A
Public Health,Leisure,Capital Expenditure,2022-08-03,AURA NEWCASTLE LTD,8665008,Capital,2CAPI,Capital Investment,128861.00,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AUTISM DIMENSIONS,8669693,revenue,1MK55,Home Care Family/Carer LD,3146.52,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AUTISM DIMENSIONS,8669693,revenue,1MK60,Ind Day Care LD,760,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AUTISM INITIATIVES,8669779,revenue,1MK50,Supported Living LD,9298.24,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AUTISM INITIATIVES,8669801,revenue,1MK50,Supported Living LD,19713.28,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,AUTISM INITIATIVES,8663153,revenue,1MK20,Residential Care LD,9345.68,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,AUTISM INITIATIVES,8682625,revenue,1MK20,Residential Care LD,9345.68,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-02,AUTISM INITIATIVES,8663153,revenue,1MK20,Residential Care LD,-438.8,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Income,2022-08-31,AUTISM INITIATIVES,8682625,revenue,1MK20,Residential Care LD,-438.8,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-02,AUTISM NORTH - EASTCLIFFE,8663084,revenue,1MK20,Residential Care LD,10890.48,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-31,AUTISM NORTH - EASTCLIFFE,8682550,revenue,1MK20,Residential Care LD,10890.48,#N/A
Place,Transport,Revenue Expenditure,2022-08-05,AUTOMATICA LTD,8651543,revenue,1V001,Transport Development,1500.00,#N/A
Corporate Budgets,Corporate Budgets,Revenue Expenditure,2022-08-30,AVC WISE LTD,8680159,revenue,1RB48,Other Corporate Items,3470.20,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-16,AVENUE COMMUNITY NH LTD,8673096,revenue,1MM10,Nursing Care MH,2722.32,#N/A
Public Health Service,Public Health,Revenue Expenditure,2022-08-26,AVENUE MEDICAL GROUP,8679644,revenue,1ML03,PH - NHS Health Checks,264,#N/A
Place,Commercial Dev & Property,Revenue Expenditure,2022-08-03,AVISON YOUNG (UK) LTD,8664858,revenue,1DY49,Wards Building,1000.00,#N/A
Place,Fairer Housing Unit,Capital Expenditure,2022-08-08,AVISON YOUNG (UK) LTD,8668256,Capital,2CAPI,Capital Investment,3500,#N/A
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2022-08-19,AWT LEGAL SERVICES LTD,8674789,revenue,1MD68,Legal Fees Care,275.04,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AZURE,8669712,revenue,1MK50,Supported Living LD,-3762.59,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AZURE,8669712,revenue,1MK51,Home Care LD,4701.96,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AZURE,8669712,revenue,1MK55,Home Care Family/Carer LD,6798.84,#N/A
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2022-08-09,AZURE,8669712,revenue,1MM50,Home Care MH,281.76,#N/A
