Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Adult Social Care,Water Service Charges - Metered,2016-02-04,5100841063,5009.67,Chorlton Park Primary School,
Manchester City Council,Adult Social Care,Electricity,2016-02-04,5100841063,4867.50,Chorlton Park Primary School,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-04,5100840280,4851.00,Turner & Townsend Cost,
Manchester City Council,Adult Social Care,Rents,2016-02-04,5100840851,4786.02,Irwell Valley Housing Association,
Manchester City Council,Adult Social Care,Rents,2016-02-04,5100840879,4786.02,Irwell Valley Housing Association,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-04,5100840102,4479.00,Redacted Personal Information,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100841010,4468.30,SRA Cover Staff Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100840943,3871.70,Capita  Resourcing Ltd,
Manchester City Council,Hospitality + Trading Services,"Clothes, Uniform and Laundry",2016-02-04,5100840798,3542.50,Slater Menswear,
Manchester City Council,Adult Social Care,Fixtures and Fittings,2016-02-04,1904975575,3330.00,Barnardos Manchester Leaving Care S,
Manchester City Council,Corporate Services,Fees,2016-02-04,5100840286,3275.00,Pannone Corporate LLP,
Manchester City Council,Corporate Services,Agency staff provision,2016-02-04,5100841052,2960.72,Morgan Hunt Public Sector Ltd,
Manchester City Council,Adult Social Care,Compensation Payments,2016-02-04,1904980967,2910.00,Liberata,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2016-02-04,5100840154,2875.00,Aquam Water Services Limited,
Manchester City Council,Housing Revenue Account,Professional fees,2016-02-04,5100840859,2869.85,University Of Salford,
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,2016-02-04,5100841031,2822.84,Initial Medical Services,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-04,5100840944,2772.05,Reed Employment Plc,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-04,5100841036,2772.05,Reed Employment Plc,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840937,2709.70,Medicare First,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,2586.55,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840937,2576.00,Medicare First,
Manchester City Council,Corporate Services,Fees,2016-02-04,5100840289,2477.00,Pannone Corporate LLP,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,2408.00,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Transport Coach Hire,2016-02-04,5100840264,2223.00,Redacted Personal Information,
Manchester City Council,Environment and Operations,Agency staff provision,2016-02-04,5100841036,2124.13,Reed Employment Plc,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-04,5100841089,2108.00,Cornflower Ltd,
Manchester City Council,Adult Social Care,Gas,2016-02-04,5100841063,2072.38,Chorlton Park Primary School,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,2057.09,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,2016-02-04,1904975575,2055.10,Barnardos Manchester Leaving Care S,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100840936,2054.86,TARMAC,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841052,1999.88,Morgan Hunt Public Sector Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100841052,1955.00,Morgan Hunt Public Sector Ltd,
Manchester City Council,Manchester Leisure,Equipment,2016-02-04,5100840968,1950.00,Clean-Up UK Limited,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-04,5100840887,1773.81,One Education Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-04,5100840944,1764.70,Reed Employment Plc,
Manchester City Council,Corporate Services,Agency staff provision,2016-02-04,5100841052,1704.28,Morgan Hunt Public Sector Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-04,5100841036,1552.50,Reed Employment Plc,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840937,1466.51,Medicare First,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840937,1371.44,Medicare First,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,1354.85,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,1904980962,1343.20,Benchmark Building Supplies Ltd,
Manchester City Council,Chief Executives,Infrastructure Fees,2016-02-04,5100841036,1323.53,Reed Employment Plc,
Manchester City Council,Housing General Fund,Surplus property Fees,2016-02-04,5100840903,1250.00,Kings Chambers,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,1204.00,Ashberry Recruitment Ltd,
Manchester City Council,Regeneration Finance,Gas,2016-02-04,1904980678,1178.35,Total Gas & Power,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-04,5100841039,1145.00,Aidservice Ltd,
Manchester City Council,Environment and Operations,Agency staff provision,2016-02-04,5100840944,1126.95,Reed Employment Plc,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-04,1904975279,1120.21,Peters Bookselling Services,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100841046,1104.16,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840944,1092.31,Reed Employment Plc,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841052,1079.36,Morgan Hunt Public Sector Ltd,
Manchester City Council,Manchester Leisure,Payments for services,2016-02-04,5100840922,1067.00,Love Withington Baths,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,1065.40,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-04,5100840802,1062.08,MCCR,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-04,5100840806,1062.08,MCCR,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-04,1904975281,1059.80,Peters Bookselling Services,
Manchester City Council,Adult Social Care,Rents,2016-02-04,1904975575,1054.80,Barnardos Manchester Leaving Care S,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-04,5100841080,1051.02,Pomergranate Europe Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,1038.45,Ashberry Recruitment Ltd,
Manchester City Council,Manchester Leisure,Agency staff provision,2016-02-04,5100841052,1026.72,Morgan Hunt Public Sector Ltd,
Manchester City Council,Manchester Leisure,Equipment,2016-02-04,5100840967,1000.00,Clean-Up UK Limited,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,2016-02-04,1904975280,984.33,Peters Bookselling Services,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,948.86,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100841002,947.24,TARMAC,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-04,5100840805,947.00,MCCR,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-04,5100840814,947.00,MCCR,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100840940,945.04,TARMAC,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,929.75,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,884.80,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-04,5100840880,881.79,Arawak Walton Housing Association,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840944,853.65,Reed Employment Plc,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100840828,840.00,Viewprint,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,830.20,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,830.20,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980749,823.91,Chicken Joes Limited,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,783.99,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,774.28,Barker Ross Health & Social Care,
Manchester City Council,Manchester Leisure,Agency staff provision,2016-02-04,5100841052,772.80,Morgan Hunt Public Sector Ltd,
Manchester City Council,Adult Social Care,Equipment,2016-02-04,5100841021,750.00,Tunstall Healthcare (UK) Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,746.77,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,730.10,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100840145,712.50,Kloeckner Metals UK,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,703.17,SRA Cover Staff Ltd,
Manchester City Council,Environment and Operations,Grant Payments,2016-02-04,5100840214,700.00,The Conservation Volunteers,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,697.68,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Rents,2016-02-04,5100840661,695.68,Mosscare Housing Ltd,
Manchester City Council,Manchester Leisure,Agency staff provision,2016-02-04,5100841052,695.52,Morgan Hunt Public Sector Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,692.00,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,692.00,SRA Cover Staff Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,684.20,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,668.39,SRA Cover Staff Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100841008,648.38,TARMAC,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-04,5100840217,639.00,The Conservation Volunteers,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,636.19,Barker Ross Health & Social Care,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,1904980960,633.92,Benchmark Building Supplies Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,630.64,Barker Ross Health & Social Care,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,2016-02-04,5100841078,622.40,KIK Fashion UK Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,618.52,SRA Cover Staff Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100840828,616.00,Viewprint,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100840828,616.00,Viewprint,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980739,604.56,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2016-02-04,5100841038,600.00,Aidservice Ltd,
Manchester City Council,Chief Executives,Agency staff provision,2016-02-04,5100841052,593.48,Morgan Hunt Public Sector Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,588.20,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841029,583.89,Barker Ross Health & Social Care,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,583.88,SRA Cover Staff Ltd,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-04,5100841000,583.47,TARMAC,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100840943,580.65,Capita  Resourcing Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,579.25,Ashberry Recruitment Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-04,5100840880,577.88,Arawak Walton Housing Association,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980743,572.69,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841046,567.58,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980699,557.94,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-04,5100840880,557.80,Arawak Walton Housing Association,
Manchester City Council,Adult Social Care,Equipment,2016-02-04,5100840113,557.75,Canford Audio Plc,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980764,554.90,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841044,546.74,Ashberry Recruitment Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980782,544.08,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980746,532.94,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-04,5100840921,528.00,TiddlyWinks Creche Provisions,
Manchester City Council,Adult Social Care,Agency staff provision,2016-02-04,5100841010,526.68,SRA Cover Staff Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-04,1904980775,517.92,Chicken Joes Limited,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,2016-02-04,5100841082,1705.00,Manchester Working Ltd,
Manchester City Council,Hospitality + Trading Services,Preventative Maintenance Work,2016-02-04,5100841075,16602.25,Manchester Working Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-05,5100841181,189321.95,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2016-02-05,5100841182,150000.00,Manchester Metropolitan University,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-05,1904981202,124300.00,Binas Solicitors Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-05,5100840910,88750.00,Man. Citizens Advice Bureaux,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,2016-02-05,5100841185,80000.00,Manchester Metropolitan University,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-05,5100837954,65049.42,Rosgal Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-05,1904981213,64834.66,Ralph Livesey Ltd,
Manchester City Council,Housing General Fund,Council Dwelling Adaptations,2016-02-05,5100841224,51433.81,"Jackson, Jackson & Sons Ltd",
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,2016-02-05,5100838425,34007.83,Keepmoat Regeneration (Bramall) Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-05,5100841214,24654.66,David Lewis Organisation,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-05,5100841248,21140.00,Christie & Co,
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2016-02-05,5100840513,21101.00,Manchester Hive Network Limited,
