Strgrp(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq No,Period,Supplier id(T),Amount,Updated,GC Supplier red,VAT RegNo,Report,Type
Community Based Services,Third Party Payments,Third Party Payments,60020162,304,201202,COMMUNITY INTEGRATED CARE,12634.40,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,308,201202,COMMUNITY INTEGRATED CARE,48522.56,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,324,201202,ASHDOWN CARE HOMES LTD,4894.08,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,334,201202,ASHDOWN CARE HOMES LTD,2710.32,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,338,201202,COMMUNITY INTEGRATED CARE,8210.28,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,416,201202,ASHDOWN CARE HOMES LTD,1106.40,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,485,201202,CASTLEBECK CARE (TEESDALE) LTD,12240.48,2012-05-23,8400345GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,514,201202,NORTH YORKSHIRE C.C.,4651.32,2012-05-23,6372813GC,GB 259 1077 49,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,518,201202,COMMUNITY INTEGRATED CARE,5594.00,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,535,201202,NEWLIFE CARE SERVICES,3673.00,2012-05-23,8400339GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,540,201202,PATHWAYS CARE GROUP,4663.16,2012-05-23,3226788GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,692,201202,ASHDOWN CARE HOMES LTD,311.40,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,696,201202,ASHDOWN CARE HOMES LTD,311.40,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,768,201202,COMMUNITY INTEGRATED CARE,622.80,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,769,201202,COMMUNITY INTEGRATED CARE,311.40,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,789,201202,COMMUNITY INTEGRATED CARE,918.00,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,802,201202,ASHDOWN CARE HOMES LTD,476.80,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,806,201202,ASHDOWN CARE HOMES LTD,476.80,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,834,201202,COMMUNITY INTEGRATED CARE,311.40,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,971,201202,NORTH YORKSHIRE C.C.,311.40,2012-05-23,6372813GC,GB 259 1077 49,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1014,201202,NEWLIFE CARE SERVICES,476.80,2012-05-23,8400339GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331825,2,201202,ESPA LTD,9599.56,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331826,2,201202,ESPA LTD,9093.27,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331827,3,201202,ESPA LTD,6428.08,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331828,2,201202,ESPA LTD,9599.56,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331829,2,201202,ESPA LTD,28636.47,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331830,2,201202,ESPA LTD,9093.27,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42331831,3,201202,ESPA LTD,6428.08,2012-05-01,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337396,2,201202,ESPA LTD,9599.56,2012-05-23,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337397,2,201202,ESPA LTD,9093.27,2012-05-23,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42337398,4,201202,ESPA LTD,6428.08,2012-05-23,8400219GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,11,201202,CLIFFORD HOUSE HOMES LTD,9677.16,2012-05-23,8400138GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,12,201202,CLIFFORD HOUSE HOMES LTD,10769.16,2012-05-23,8400138GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,90,201202,APPLETREE GRANGE,1720.00,2012-05-23,8400003GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,96,201202,THE OAKS,4636.76,2012-05-23,8400342GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,97,201202,THE OAKS,1957.60,2012-05-23,8400342GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,114,201202,CARELINE LIFESTYLES LTD,3928.57,2012-05-23,3213720GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,117,201202,KENSINGTON HOUSE,1834.40,2012-05-23,8400303GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,127,201202,KENSINGTON HOUSE,1834.40,2012-05-23,8400303GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,154,201202,UNITED RESPONSE,5200.12,2012-05-23,6325731GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,262,201202,FAIRWAYS,8153.40,2012-05-23,8400696GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,303,201202,COMMUNITY INTEGRATED CARE,13594.40,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,305,201202,ASHDOWN CARE HOMES LTD,6422.12,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,319,201202,COMMUNITY INTEGRATED CARE,13640.44,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,326,201202,ASHDOWN CARE HOMES LTD,6402.96,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,329,201202,ASPIRE HEALTHCARE LIMITED,3973.12,2012-05-23,3165843GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,339,201202,ASPIRE HEALTHCARE LIMITED,10236.00,2012-05-23,3165843GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,380,201202,ASHDOWN CARE HOMES LTD,12873.80,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,390,201202,HEATHER HOUSE,24188.88,2012-05-23,3109251GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,395,201202,FOUR SEASONS HEALTHCARE LTD,4877.74,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,414,201202,FAIRWAYS,11630.84,2012-05-23,8400696GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,431,201202,ASHDOWN CARE HOMES LTD,1410.76,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,469,201202,ASHDOWN CARE HOMES LTD,2700.72,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020163,0,201202,ASPIRE HEALTHCARE LIMITED,34944.00,2012-05-31,3165843GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42333862,2,201202,NORTH EAST AUTISM SOCIETY,22033.74,2012-05-09,3225243GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334771,2,201202,NORTH EAST AUTISM SOCIETY,4364.76,2012-05-14,3225243GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42334773,2,201202,NORTH EAST AUTISM SOCIETY,9792.64,2012-05-14,3225243GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,42339840,2,201202,MENCAP,13205.34,2012-05-31,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,481,201202,BROOKVALE,3243.60,2012-05-23,8400912GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,483,201202,CASTLEBECK CARE (TEESDALE) LTD,14528.68,2012-05-23,8400345GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,486,201202,CASTLEBECK CARE (TEESDALE) LTD,13485.28,2012-05-23,8400345GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,493,201202,CITY OF SUNDERLAND,11717.12,2012-05-23,8400579GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,497,201202,MENCAP,16363.18,2012-05-23,3007470GC,791 4831 06,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,501,201202,FORESIGHT RESIDENTIAL LTD,2371.64,2012-05-23,6111006GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,503,201202,YAD VOEZER LTD,4009.12,2012-05-23,6115926GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,512,201202,PERCY HEDLEY FOUNDATION,11183.36,2012-05-23,6327414GC,746493596,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,519,201202,POSITIVE APPROACH SERVICES LTD,7558.96,2012-05-23,8400837GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,523,201202,MILBURY CARE SERVICES LTD,6797.96,2012-05-23,6426129GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,527,201202,MILBURY CARE SERVICES LTD,13247.36,2012-05-23,6426129GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,545,201202,POSITIVE APPROACH SERVICES LTD,2433.28,2012-05-23,3123558GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,561,201202,S E L F LTD,4705.44,2012-05-23,3093408GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,566,201202,AUTISM NORTH LTD,9649.76,2012-05-23,3067638GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,567,201202,PATHWAYS CARE GROUP,9326.32,2012-05-23,3226788GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,577,201202,POSITIVE APPROACH SERVICES LTD,2694.44,2012-05-23,3123558GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,580,201202,NORTH EAST AUTISM SOCIETY,7790.32,2012-05-23,3225243GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,584,201202,AUTISM NORTH C/O TRINITY HOUSE,9723.20,2012-05-23,3154707GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,587,201202,POTENSIAL LIMITED C/O GREENCROFT & PARKSIDE LODGE,5714.92,2012-05-23,3152607GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,607,201202,NORTH EAST AUTISM SOCIETY,4915.72,2012-05-23,3225243GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,612,201202,NORTH EAST AUTISM SOCIETY,9792.64,2012-05-23,3225243GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,614,201202,LANCHESTER COURT,6152.00,2012-05-23,3204615GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,628,201202,WILKINSON PARK CARELINE LIFESTYLES (UK) LTD,2439.52,2012-05-23,3222120GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,629,201202,JANE PERCY HOUSE COMPANY,3228.68,2012-05-23,3165510GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,632,201202,GAINFORD CARE HOMES,29925.40,2012-05-23,3042387GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,636,201202,RESOLVE (LOW HOUSE),7412.20,2012-05-23,3221529GC,,TRDATA1R,Revenue
Community Based Services,Third Party Payments,Third Party Payments,60020162,674,201202,TYNE & WEAR AUTISTIC SOCIETY - MOORPINE,8432.28,2012-05-23,3178368GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,679,201202,ASHDOWN CARE HOMES LTD,622.80,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,688,201202,ASHDOWN CARE HOMES LTD,311.40,2012-05-23,8400633GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,732,201202,S E L F LTD,311.40,2012-05-23,3093408GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,740,201202,POSITIVE APPROACH SERVICES LTD,311.40,2012-05-23,3123558GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,741,201202,HEATHER HOUSE,1283.60,2012-05-23,3109251GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,752,201202,FOUR SEASONS HEALTHCARE LTD,516.25,2012-05-23,8400873GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,776,201202,GAINFORD CARE HOMES,672.08,2012-05-23,3042387GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,791,201202,BROOKVALE,367.56,2012-05-23,8400912GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,803,201202,ASPIRE HEALTHCARE LIMITED,311.40,2012-05-23,3165843GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,805,201202,ASPIRE HEALTHCARE LIMITED,771.80,2012-05-23,3165843GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,809,201202,FAIRWAYS,934.20,2012-05-23,8400696GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,810,201202,FAIRWAYS,934.20,2012-05-23,8400696GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,811,201202,JANE PERCY HOUSE COMPANY,349.40,2012-05-23,3165510GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,813,201202,COMMUNITY INTEGRATED CARE,311.40,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,817,201202,POSITIVE APPROACH SERVICES LTD,622.80,2012-05-23,8400837GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,821,201202,POTENSIAL LIMITED C/O GREENCROFT & PARKSIDE LODGE,311.40,2012-05-23,3152607GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,841,201202,COMMUNITY INTEGRATED CARE,983.88,2012-05-23,8400774GC,764690596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,862,201202,APPLETREE GRANGE,476.80,2012-05-23,8400003GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,888,201202,PATHWAYS CARE GROUP,311.40,2012-05-23,3226788GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,962,201202,YAD VOEZER LTD,311.40,2012-05-23,6115926GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,965,201202,UNITED RESPONSE,311.40,2012-05-23,6325731GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,970,201202,PERCY HEDLEY FOUNDATION,349.40,2012-05-23,6327414GC,746493596,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,998,201202,KENSINGTON HOUSE,311.40,2012-05-23,8400303GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1005,201202,KENSINGTON HOUSE,311.40,2012-05-23,8400303GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1007,201202,CARELINE LIFESTYLES LTD,158.14,2012-05-23,3213720GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1013,201202,THE OAKS,475.12,2012-05-23,8400342GC,,TRDATA1R,Revenue
Community Based Services,Income: Customer and Client Receipts,Customer & Client Receipts,60020162,1015,201202,THE OAKS,770.40,2012-05-23,8400342GC,,TRDATA1R,Revenue
